Sex,Length,Diameter,Height,Whole.weight,Shucked.weight,Viscera.weight,Shell.weight,Rings
F,0.5961844382418349,0.46559070089859045,0.16572918896031746,1.107389330722894,0.4569542180118491,0.2674387072157094,0.3452253740924853,9-10
M,0.49569703500037576,0.37001403421184875,0.13797042751057767,0.723210823605289,0.3060372165201586,0.14634618670487903,0.1957291646228329,9-10
I,0.5903195304599649,0.4713416078098751,0.14493076597945384,0.7801690337660853,0.3884834048439812,0.15213678830583474,0.23396363170488943,9-10
F,0.39333023354720353,0.2702432559946253,0.09495492126457218,0.27933542151715185,0.1444086950765886,0.07150623685166045,0.08398666393148924,9-10
M,0.3588125266596762,0.2939204745385773,0.09686789544746346,0.23555951477804216,0.13183405464319925,0.03584388920957111,0.08274331161061244,9-10
F,0.3937288542974784,0.31261258013501525,0.12775674711422608,0.41455566419696543,0.14962195142291346,0.0946012484026878,0.19012676507933907,9-10
I,0.5144749048804442,0.3990764335028292,0.11308456555166532,0.7402416744487088,0.3050444679646077,0.13866264678712945,0.21901055190927887,9-10
M,0.6318704519526364,0.5200703660219714,0.14853208714728725,1.3519111146674634,0.6112551753589779,0.28257009380974546,0.3681425355326662,9-10
F,0.6167067796704941,0.5039635212088127,0.1773718142680263,1.0131576633040154,0.4125638172433848,0.23091359072569956,0.3172368299229502,9-10
M,0.5851908715148966,0.4508395196783246,0.14952530667521383,0.9172715505658257,0.4358479880825165,0.24663527577230562,0.21758533800084198,9-10
F,0.4192102218485161,0.31445669005957644,0.06354001311939335,0.19824089634584674,0.07784821902052974,0.056311104467008835,0.06928328255077523,9-10
M,0.5668965053537249,0.41997471924965435,0.14921403665561137,1.007546931951313,0.47067144342814415,0.23982403790201912,0.2502230073476279,9-10
M,0.5440185372253836,0.43081338630215527,0.17351478786802155,0.8374417482543418,0.3789219588183772,0.16214163190113157,0.2278119846265716,9-10
F,0.5827658592552325,0.45798566653961625,0.1548210518668074,1.0889461923353962,0.438475999883316,0.23774086578638742,0.2969714989401288,9-10
F,0.5414142520930909,0.4151180084782764,0.1513901299959579,0.6792237655543237,0.2917709725884422,0.1477815838505479,0.22351004897539595,9-10
M,0.5830646214581066,0.4333264460496,0.14642744959067264,0.8546270590721985,0.4022462985466341,0.175633836204205,0.2906256938252821,9-10
M,0.6527230815945586,0.522038883450926,0.18886804814354177,1.5475595659665426,0.6945064953301723,0.3939822237777199,0.3648022052023512,9-10
M,0.5602467464868823,0.46448831389533574,0.17137955865021015,0.9915778384461713,0.4398176928988552,0.24637729913291084,0.2791599218209512,9-10
M,0.6492263897316661,0.4940660061104074,0.16145926027641805,1.161993466363911,0.5380723405362922,0.26241345085740825,0.30219214928472804,9-10
F,0.5549056592371926,0.4275738871557575,0.10519149819681076,0.8031981339674276,0.4441076001609675,0.18316468564230623,0.1831707992618104,9-10
M,0.4820990024782077,0.37925285074933335,0.11929853254259759,0.7382764728695164,0.29059899767489716,0.1679957344803967,0.19117530433123195,9-10
M,0.5592164521613086,0.42948347418751176,0.1805240080940423,0.8120609218482254,0.3134437353135626,0.1948179936348559,0.27341883705520525,9-10
M,0.6422217278641256,0.5060824230894321,0.18697640074223867,1.438868179212614,0.640666516858805,0.3157871163843892,0.4206092033045339,9-10
F,0.6167761624565173,0.4955856593104251,0.16454284319603943,1.2518712302397006,0.5480159149498376,0.24278408933768802,0.3883841933075497,9-10
M,0.5590516619986374,0.4292618828535666,0.11468113298215968,0.8956460585556566,0.4040657689637223,0.2135287253040001,0.19148605821062764,9-10
I,0.6147082051629695,0.4685322154541547,0.1659153604268881,1.306813938764016,0.649675682362093,0.25325603530358776,0.31457991193340523,9-10
M,0.5805113376063673,0.47384439266764833,0.16287384171830038,0.9837414142869244,0.444824091543883,0.20571098046049138,0.28944147954711674,9-10
I,0.4722702443777962,0.37548445698846056,0.1612772306092822,0.7784215414649871,0.392080863873912,0.1423047530812353,0.22752446711411062,9-10
I,0.4805131149214503,0.37237000063580084,0.11782164376897991,0.40822596124915556,0.17417325389661686,0.11354848246900363,0.10561114425898352,9-10
M,0.6905669075304104,0.5422717496156322,0.193382318856125,1.5556032391527308,0.8256614043987682,0.3651524747394604,0.39052252838177715,9-10
F,0.5639324324820336,0.4355251396030839,0.12205714775830148,0.9178606291852297,0.451929521796566,0.14551589564500653,0.274395615606644,9-10
M,0.6016831990973515,0.4794200204139729,0.194193277256078,1.3288714591244606,0.6040012207433162,0.34293902411918614,0.3759289496952888,9-10
F,0.569590546301697,0.45884716756942456,0.13535286167865365,1.084458956529353,0.4709448957186689,0.24117509842068433,0.28972179805525805,9-10
F,0.581297659287884,0.461712299751877,0.1528899173215833,0.9691381096160748,0.43590943533113474,0.16613674260896147,0.29581258379367475,9-10
I,0.6154400992372757,0.484349126950228,0.1653604180315209,1.1304052782423768,0.4756454914650149,0.2671997655713525,0.2981357442478668,9-10
I,0.46598876650750753,0.3870012213045708,0.09825189881830503,0.5091763074563785,0.22060136306474556,0.06908967696251682,0.1548308170496541,9-10
F,0.5179313114385877,0.4072344115299611,0.12163626198165761,0.6141374459242444,0.3484245963124225,0.11070277794145798,0.12757763339433678,9-10
F,0.5575414478253151,0.42860204906560906,0.1489936776599298,0.6698224065556255,0.21563162578631034,0.21842301804778783,0.23322404803520766,9-10
I,0.37133157027165,0.2828002708242101,0.1254130793421247,0.44305700908625123,0.23062628038863212,0.061952648916416456,0.10512181234641374,9-10
F,0.5424036556350984,0.3902824325345744,0.12303659443140265,0.9185764567397374,0.5106273337534271,0.16620921981360273,0.23441444728442,9-10
F,0.4540504523602067,0.35857780348312573,0.14362593907975948,0.4813381048149072,0.18023813183317117,0.10336637204052761,0.16283840864125124,9-10
F,0.6103875936887562,0.5035254540968115,0.14297635193249097,1.1957666559115627,0.550035460420727,0.24034954510590775,0.3332126464661594,9-10
F,0.5199014567306222,0.4241310171208319,0.1314075165674116,0.8279497464288328,0.42108190325484757,0.11406277650839394,0.2015970516283131,9-10
F,0.658430450216656,0.5161141022364699,0.18699699801610103,1.3840417633932347,0.6526063902940351,0.29539864198356774,0.3559323829192209,9-10
F,0.5215566320866856,0.4223881975370425,0.1373410489516824,0.7355903988991467,0.32799007592267865,0.1519377748092635,0.2267224169218285,9-10
M,0.6174437215895523,0.49821362939167013,0.1980977842955439,1.1859969781669182,0.5461698835615009,0.24243330383299472,0.33929244829326016,9-10
M,0.5285516639478374,0.393160380394983,0.12811135681585215,0.8352389443982156,0.35169867364517554,0.1889710941069365,0.28746378219504204,9-10
M,0.6030518626148478,0.47205427281670165,0.1332882219065065,0.87168123148033,0.4075491774274756,0.1725353135157342,0.23925659672271202,9-10
M,0.6973026867399312,0.5592540034091238,0.20325317899806405,1.815498856441155,0.8281956584799235,0.48731914520806685,0.4927599532781386,9-10
F,0.5592867487703188,0.43829258965080076,0.13326453895435297,0.9534626613819485,0.4299062937891487,0.1859149124932114,0.24052941569521707,9-10
F,0.5597825835156982,0.4529398284514121,0.18296093343135988,0.8554783817808689,0.3245315162050991,0.17852509178732784,0.29495854962275986,9-10
I,0.611609080978269,0.49175010666575236,0.175989682478033,1.0551297686573382,0.5363922050483481,0.20575647854941853,0.30347677883663593,9-10
F,0.43684659182599717,0.33373639439129654,0.12616896649306555,0.5185450120581887,0.22986945885961518,0.09644754394332844,0.11942787334839888,9-10
I,0.5316435842742067,0.43042386559305523,0.14304314074648897,0.8648795772289191,0.3578241893639783,0.12947131696903333,0.2673034727410433,9-10
M,0.617762729889364,0.47205927139909765,0.15183875331368454,1.18018209875363,0.5237399885371743,0.2102145104521412,0.3252052024625934,9-10
I,0.5504815115436941,0.44070625543739705,0.14046722674002846,1.121359922367992,0.49386353084727674,0.2598997944966431,0.32414921492686116,9-10
F,0.7026713382492744,0.5498351044974079,0.19871312488861065,1.7314168091074142,0.8431145060713623,0.3625886875490845,0.43344731965738204,9-10
I,0.47438910599794326,0.36907827808084903,0.10977658037870189,0.4509717243970626,0.19585682256351566,0.07293055792242249,0.10072999812436093,9-10
M,0.5644482448442432,0.43824173100528796,0.1275290746246604,0.7260202814717063,0.29142751667903216,0.20552860198090592,0.20520303546836313,9-10
M,0.6372555141624616,0.4944593390618133,0.15490811700394647,1.326022612362292,0.5745400519996515,0.2953917827195385,0.37269909240939014,9-10
F,0.566119578508733,0.44248564877937024,0.15093711215487143,1.0542643539559122,0.4781983698591784,0.23982883502953894,0.278171228028519,9-10
M,0.5168854157209353,0.40705834946500996,0.1218295491929069,0.8065988178450123,0.395834249564956,0.1785141854138932,0.16570510573222674,9-10
